Date,Giá,Khối lượng,Change %,
5/9/2022,"114,061",1.08M,-1.79%,
5/6/2022,"116,145",825.30K,-1.68%,
5/5/2022,"118,131",933.30K,5.22%,
5/4/2022,"112,274",512.20K,-2.50%,
4/29/2022,"115,153",1.10M,-0.43%,
4/28/2022,"115,649",837.60K,-2.10%,
4/27/2022,"118,131",1.24M,2.59%,
4/26/2022,"115,153",2.21M,0.00%,
4/25/2022,"115,153",1.08M,-5.92%,
4/22/2022,"122,399",1.75M,0.24%,
4/21/2022,"122,101",1.51M,-1.05%,
4/20/2022,"123,392",1.12M,3.15%,
4/19/2022,"119,620",943.10K,-2.82%,
4/18/2022,"123,094",890.80K,-0.80%,
4/15/2022,"124,087",1.02M,-0.56%,
4/14/2022,"124,782",800.00K,-0.95%,
4/13/2022,"125,973",989.50K,1.20%,
4/12/2022,"124,484",1.37M,1.33%,
4/8/2022,"122,846",1.40M,-1.66%,
4/7/2022,"124,914",1.34M,-1.82%,
4/6/2022,"127,230",1.65M,1.45%,
4/5/2022,"125,410",887.16K,1.07%,
4/4/2022,"124,087",2.02M,2.39%,
4/1/2022,"121,191",970.44K,3.02%,
3/31/2022,"117,634",707.04K,-1.25%,
3/30/2022,"119,123",810.48K,0.00%,
3/29/2022,"119,123",714.24K,-1.10%,
3/28/2022,"120,447",756.00K,-0.55%,
3/25/2022,"121,109",654.72K,-0.14%,
3/24/2022,"121,274",912.36K,-0.27%,
3/23/2022,"121,605",1.68M,-1.01%,
3/22/2022,"122,846",1.16M,2.41%,
3/21/2022,"119,950",1.07M,6.07%,
3/18/2022,"113,084",3.05M,-0.94%,
3/17/2022,"114,160",920.16K,-1.78%,
3/16/2022,"116,228",604.68K,-0.42%,
3/15/2022,"116,724",1.22M,3.67%,
3/14/2022,"112,588",1.98M,-4.49%,
3/11/2022,"117,882",1.88M,-5.00%,
3/10/2022,"124,087",1.49M,-3.54%,
3/9/2022,"128,637",1.05M,-2.08%,
3/8/2022,"131,366",761.16K,0.38%,
3/7/2022,"130,870",1.13M,-1.92%,
3/4/2022,"133,435",1.44M,1.38%,
3/3/2022,"131,615",903.48K,1.34%,
3/2/2022,"129,877",987.48K,0.32%,
3/1/2022,"129,464",432.00K,0.32%,
2/28/2022,"129,050",512.28K,-1.27%,
2/25/2022,"130,705",687.00K,-0.94%,
2/24/2022,"131,946",1.19M,1.46%,
2/23/2022,"130,043",551.52K,-0.19%,
2/22/2022,"130,291",670.92K,-1.75%,
2/21/2022,"132,607",1.15M,-1.84%,
2/18/2022,"135,089",1.42M,0.18%,
2/17/2022,"134,841",2.01M,3.10%,
2/16/2022,"130,787",987.84K,-1.50%,
2/15/2022,"132,773",1.89M,5.87%,
2/14/2022,"125,410",1.11M,1.20%,
2/11/2022,"123,921",585.00K,0.13%,
2/10/2022,"123,756",1.72M,2.05%,
2/9/2022,"121,274",702.60K,0.76%,
2/8/2022,"120,364",602.40K,-1.62%,
2/7/2022,"122,349",734.28K,3.43%,
1/28/2022,"118,296",428.28K,0.70%,
1/27/2022,"117,469",873.24K,-3.40%,
1/26/2022,"121,605",1.16M,-3.92%,
1/25/2022,"126,568",1.26M,6.99%,
1/24/2022,"118,296",1.14M,-5.30%,
1/21/2022,"124,914",1.04M,1.21%,
1/20/2022,"123,425",1.05M,1.15%,
1/19/2022,"122,019",1.52M,3.80%,
1/18/2022,"117,551",1.05M,0.07%,
1/17/2022,"117,469",995.88K,-1.93%,
1/14/2022,"119,785",588.96K,0.00%,
1/13/2022,"119,785",1.17M,-0.07%,
1/12/2022,"119,868",1.27M,0.00%,
1/11/2022,"119,868",1.61M,-5.29%,
1/10/2022,"126,568",534.48K,-0.65%,
1/7/2022,"127,396",1.57M,0.13%,
1/6/2022,"127,230",1.98M,-4.47%,
1/5/2022,"133,186",1.51M,-5.29%,
1/4/2022,"140,632",1.20M,-0.58%,
